dim_X,dim_Y,dim_Z,objpath
3.453657286108987,7.470586740948012,2.2408970556220407,0.obj
4.352688646198717,5.247279619369537,2.2083472735869236,1.obj
7.5246256234578,3.673904426707852,2.3643474932066857,2.obj
9.324379959639181,8.739695862883044,2.301542722399322,3.obj
4.9826761337936425,4.15476412607199,2.8713110342407773,4.obj
2.9885867522801997,7.260661097876175,2.288204932522226,5.obj
9.137471695190673,5.756795358252406,2.9774222948378606,6.obj
3.4265116210611186,6.449346191398538,2.448156663932852,7.obj
3.32889748518836,4.177874455043708,2.6283896138868914,8.obj
5.675284402954519,6.829042121448866,2.4095967058367393,9.obj
5.3947514038324895,5.78590690688824,2.4447359417000607,10.obj
5.110365220087435,8.539880382785288,2.5988459663972248,11.obj
9.569682960811644,8.724735628271798,2.9271147582444255,12.obj
4.316431304271013,5.623523434008684,2.545575029405507,13.obj
5.6957791973121,3.556432412752499,2.315756573066438,14.obj
3.074511866220284,5.325152032101417,2.133145589198751,15.obj
9.995748479393747,9.32219269087496,2.7786933988082483,16.obj
2.7062801020995253,2.8388511972688732,2.0243253381263715,17.obj
6.098871328582749,3.6836614464918993,2.7279906083570373,18.obj
5.746176759345072,4.766899294025395,2.4110314512688023,19.obj
7.085665647577329,7.691582038096345,2.1201084973196864,20.obj
4.609870505860256,3.3418583142432903,2.646742428023193,21.obj
7.643722428455406,2.588663147443711,2.862689843905782,22.obj
9.468408106344242,6.790756135021872,2.434863031580435,23.obj
7.892719399398624,5.799754925518641,2.618458675251933,24.obj
2.61636573408011,4.320169133343208,2.5330965021433793,25.obj
8.87925660711807,9.119947454039552,2.0246566605922967,26.obj
9.138704640768156,2.7497334157604842,2.683715690060333,27.obj
7.1441637251808405,9.984432886513403,2.448219455745641,28.obj
6.336918473807893,2.6818900639767236,2.9261071422026195,29.obj
4.5839051437905765,6.137208563271827,2.303450031737663,30.obj
6.410670062596509,2.6713784373022365,2.1169037700517848,31.obj
8.054224358544538,8.900593579526815,2.810343805074182,32.obj
3.8887133071459408,9.58919644786366,2.8152462256743402,33.obj
9.074236872699515,6.225932815562155,2.0582815574186424,34.obj
6.735055854555673,6.009691172265431,2.734402742865917,35.obj
8.64463792762172,3.862262602318391,2.9463967709484646,36.obj
9.965632427026119,7.179624590305629,2.1318856164189652,37.obj
